_id,societyId,name,phone,visitorType,createdByUserId,createdAt,__v,updatedAt,created_month,created_weekday,created_hour
6a60919d62a1662d3b6803bb,6a5b33f154b73fc9cb5effdf,Jaeden Koelpin,375-501-7044 x59411,EMERGENCY,6a5fb2a4f9a6aaf7b13e2f11,2026-05-22 00:54:26.843000+00:00,0,2026-07-22 09:47:09.703000+00:00,5,4,0
6a60919d62a1662d3b6803bc,6a5b33f154b73fc9cb5effdf,Ira Kling,(698) 423-0768 x83487,EMERGENCY,6a5faffaf9a6aaf7b13e2e20,2026-06-26 13:56:04.488000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,4,13
6a60919d62a1662d3b6803bd,6a5b33f154b73fc9cb5effdf,Jerald Senger DVM,439-953-9641,CAB,6a5b5008120eac5c280cb195,2026-07-16 10:27:17.664000+00:00,0,2026-07-22 09:47:09.703000+00:00,7,3,10
6a60919d62a1662d3b6803be,6a5b33f154b73fc9cb5effdf,Moises Rath,833-291-5094 x6651,SERVICE_PROVIDER,6a5b5008120eac5c280cb195,2026-02-06 00:16:53.041000+00:00,0,2026-07-22 09:47:09.703000+00:00,2,4,0
6a60919d62a1662d3b6803bf,6a5b33f154b73fc9cb5effdf,Gerry Will,1-216-243-6707,EMERGENCY,6a5e40d56ed32b9a22aee986,2026-05-25 00:45:02.668000+00:00,0,2026-07-22 09:47:09.703000+00:00,5,0,0
6a60919d62a1662d3b6803c0,6a5b33f154b73fc9cb5effdf,Mr. Shaun Keeling,(248) 589-5001,DELIVERY,6a605fde07be72cd0147a6cc,2026-02-11 23:04:34.478000+00:00,0,2026-07-22 09:47:09.703000+00:00,2,2,23
6a60919d62a1662d3b6803c1,6a5b33f154b73fc9cb5effdf,Kristian Ruecker,224-926-5220 x97764,OTHER,6a605fde07be72cd0147a6cc,2026-04-09 03:26:51.930000+00:00,0,2026-07-22 09:47:09.703000+00:00,4,3,3
6a60919d62a1662d3b6803c2,6a5b33f154b73fc9cb5effdf,Chandler Stanton,572.759.1127 x64139,GUEST,6a5faffaf9a6aaf7b13e2e1f,2026-03-29 23:23:23.896000+00:00,0,2026-07-22 09:47:09.703000+00:00,3,6,23
6a60919d62a1662d3b6803c3,6a5b33f154b73fc9cb5effdf,Lynn Harris V,448.636.7702,OTHER,6a5e40d56ed32b9a22aee986,2026-02-28 19:12:29.932000+00:00,0,2026-07-22 09:47:09.703000+00:00,2,5,19
6a60919d62a1662d3b6803c4,6a5b33f154b73fc9cb5effdf,Kate Hane,(412) 533-9813 x013,OTHER,6a605fde07be72cd0147a6cc,2026-07-01 03:12:25.184000+00:00,0,2026-07-22 09:47:09.703000+00:00,7,2,3
6a60919d62a1662d3b6803c5,6a5b33f154b73fc9cb5effdf,Charlene Streich,961.879.4695 x2978,EMERGENCY,6a5faffaf9a6aaf7b13e2e20,2026-04-28 01:30:55.761000+00:00,0,2026-07-22 09:47:09.703000+00:00,4,1,1
6a60919d62a1662d3b6803c6,6a5b33f154b73fc9cb5effdf,Mallory Douglas,(450) 948-9196 x2323,SERVICE_PROVIDER,6a5faffaf9a6aaf7b13e2e20,2026-04-01 16:54:40.538000+00:00,0,2026-07-22 09:47:09.703000+00:00,4,2,16
6a60919d62a1662d3b6803c7,6a5b33f154b73fc9cb5effdf,Brent Dooley,(212) 880-8375 x2840,MAINTENANCE,6a5e40d56ed32b9a22aee986,2026-07-13 14:07:34.015000+00:00,0,2026-07-22 09:47:09.703000+00:00,7,0,14
6a60919d62a1662d3b6803c8,6a5b33f154b73fc9cb5effdf,Renee Emard V,948-230-5578 x13553,OTHER,6a5b5008120eac5c280cb195,2026-06-01 21:59:27.987000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,0,21
6a60919d62a1662d3b6803c9,6a5b33f154b73fc9cb5effdf,Chandler Beatty,(585) 321-6065 x54448,GUEST,6a605fde07be72cd0147a6cc,2026-06-16 09:46:04.315000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,1,9
6a60919d62a1662d3b6803ca,6a5b33f154b73fc9cb5effdf,Marielle Schmidt,1-227-235-7781,MAINTENANCE,6a605fde07be72cd0147a6cc,2026-02-18 03:58:45.225000+00:00,0,2026-07-22 09:47:09.703000+00:00,2,2,3
6a60919d62a1662d3b6803cb,6a5b33f154b73fc9cb5effdf,Lane Gleichner Sr.,(538) 383-1061 x2137,DELIVERY,6a5faffaf9a6aaf7b13e2e1f,2026-06-06 07:15:16.964000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,5,7
6a60919d62a1662d3b6803cc,6a5b33f154b73fc9cb5effdf,Hazel Hansen DVM,(634) 245-0653,DELIVERY,6a5fb2a4f9a6aaf7b13e2f11,2026-03-26 23:54:26.687000+00:00,0,2026-07-22 09:47:09.703000+00:00,3,3,23
6a60919d62a1662d3b6803cd,6a5b33f154b73fc9cb5effdf,Kevin Boyer,(309) 319-5947 x666,OTHER,6a5faffaf9a6aaf7b13e2e20,2026-03-16 09:11:56.519000+00:00,0,2026-07-22 09:47:09.703000+00:00,3,0,9
6a60919d62a1662d3b6803ce,6a5b33f154b73fc9cb5effdf,Edgardo Watsica,1-901-650-7463,CAB,6a5e40d56ed32b9a22aee986,2026-02-11 14:49:13.190000+00:00,0,2026-07-22 09:47:09.703000+00:00,2,2,14
6a60919d62a1662d3b6803cf,6a5b33f154b73fc9cb5effdf,James Champlin,766.845.9646 x57077,EMERGENCY,6a5faffaf9a6aaf7b13e2e20,2026-07-06 22:42:25.904000+00:00,0,2026-07-22 09:47:09.703000+00:00,7,0,22
6a60919d62a1662d3b6803d0,6a5b33f154b73fc9cb5effdf,Ms. Sonia Powlowski,797-840-5937 x6017,CAB,6a5faffaf9a6aaf7b13e2e20,2026-04-04 18:20:37.310000+00:00,0,2026-07-22 09:47:09.703000+00:00,4,5,18
6a60919d62a1662d3b6803d1,6a5b33f154b73fc9cb5effdf,Mr. Clifford Bednar,820-910-4138,OTHER,6a5fb2a4f9a6aaf7b13e2f11,2026-07-08 22:29:23.105000+00:00,0,2026-07-22 09:47:09.703000+00:00,7,2,22
6a60919d62a1662d3b6803d2,6a5b33f154b73fc9cb5effdf,Monte O'Kon,1-310-267-4713 x05945,OTHER,6a605fde07be72cd0147a6cc,2026-01-27 21:50:58.988000+00:00,0,2026-07-22 09:47:09.703000+00:00,1,1,21
6a60919d62a1662d3b6803d3,6a5b33f154b73fc9cb5effdf,Randall Beer,(723) 991-2985 x283,OTHER,6a5fb2a4f9a6aaf7b13e2f11,2026-03-04 19:46:38.902000+00:00,0,2026-07-22 09:47:09.703000+00:00,3,2,19
6a60919d62a1662d3b6803d4,6a5b33f154b73fc9cb5effdf,Adan Langosh,996-812-9925 x096,DELIVERY,6a5e40d56ed32b9a22aee986,2026-07-22 01:47:48+00:00,0,2026-07-22 09:47:09.703000+00:00,7,2,1
6a60919d62a1662d3b6803d5,6a5b33f154b73fc9cb5effdf,Ms. Gunnar Kirlin,761-849-4927,GUEST,6a5faffaf9a6aaf7b13e2e20,2026-07-06 19:18:05.893000+00:00,0,2026-07-22 09:47:09.703000+00:00,7,0,19
6a60919d62a1662d3b6803d6,6a5b33f154b73fc9cb5effdf,Shelley McKenzie,(592) 779-5312,DELIVERY,6a5fb2a4f9a6aaf7b13e2f11,2026-05-21 11:35:47.887000+00:00,0,2026-07-22 09:47:09.703000+00:00,5,3,11
6a60919d62a1662d3b6803d7,6a5b33f154b73fc9cb5effdf,Mrs. Luna Gorczany,227.460.2911,OTHER,6a5b5008120eac5c280cb195,2026-03-28 15:55:18.386000+00:00,0,2026-07-22 09:47:09.703000+00:00,3,5,15
6a60919d62a1662d3b6803d8,6a5b33f154b73fc9cb5effdf,Rogelio Sanford,(692) 249-0097,CAB,6a5faffaf9a6aaf7b13e2e1f,2026-04-04 13:39:04.893000+00:00,0,2026-07-22 09:47:09.703000+00:00,4,5,13
6a60919d62a1662d3b6803d9,6a5b33f154b73fc9cb5effdf,Darrell Auer,1-717-723-2013 x521,SERVICE_PROVIDER,6a605fde07be72cd0147a6cc,2026-02-03 13:35:31.032000+00:00,0,2026-07-22 09:47:09.703000+00:00,2,1,13
6a60919d62a1662d3b6803da,6a5b33f154b73fc9cb5effdf,Dr. Luke Roob,451-425-8851 x74132,GUEST,6a5b5008120eac5c280cb195,2026-04-02 23:44:55.062000+00:00,0,2026-07-22 09:47:09.703000+00:00,4,3,23
6a60919d62a1662d3b6803db,6a5b33f154b73fc9cb5effdf,Nathaniel Becker,966-445-8853 x44466,DELIVERY,6a605fde07be72cd0147a6cc,2026-06-27 02:15:08.791000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,5,2
6a60919d62a1662d3b6803dc,6a5b33f154b73fc9cb5effdf,Zane Walker,501-578-8984,DELIVERY,6a5faffaf9a6aaf7b13e2e1f,2026-04-16 19:50:06.641000+00:00,0,2026-07-22 09:47:09.703000+00:00,4,3,19
6a60919d62a1662d3b6803dd,6a5b33f154b73fc9cb5effdf,Erin Wyman,(637) 923-2497,SERVICE_PROVIDER,6a5fb2a4f9a6aaf7b13e2f11,2026-06-16 11:04:09.748000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,1,11
6a60919d62a1662d3b6803de,6a5b33f154b73fc9cb5effdf,Ernestina Rippin-Schowalter PhD,617.492.9905 x3432,EMERGENCY,6a5faffaf9a6aaf7b13e2e20,2026-03-24 07:27:36.780000+00:00,0,2026-07-22 09:47:09.703000+00:00,3,1,7
6a60919d62a1662d3b6803df,6a5b33f154b73fc9cb5effdf,Frederique Hartmann,563.356.9581 x085,EMERGENCY,6a5faffaf9a6aaf7b13e2e1f,2026-05-20 20:17:31.094000+00:00,0,2026-07-22 09:47:09.703000+00:00,5,2,20
6a60919d62a1662d3b6803e0,6a5b33f154b73fc9cb5effdf,Victoria Christiansen MD,516.661.5189,CAB,6a5faffaf9a6aaf7b13e2e20,2026-01-24 00:06:08.618000+00:00,0,2026-07-22 09:47:09.703000+00:00,1,5,0
6a60919d62a1662d3b6803e1,6a5b33f154b73fc9cb5effdf,Tyrese Harber,(356) 720-7718 x277,OTHER,6a5e40d56ed32b9a22aee986,2026-06-15 19:42:34.472000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,0,19
6a60919d62a1662d3b6803e2,6a5b33f154b73fc9cb5effdf,Oral Haag,453.393.7870 x666,SERVICE_PROVIDER,6a5b5008120eac5c280cb195,2026-06-05 19:14:09.990000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,4,19
6a60919d62a1662d3b6803e3,6a5b33f154b73fc9cb5effdf,Mr. Lester Rolfson,507.722.3209 x2487,CAB,6a605fde07be72cd0147a6cc,2026-03-11 10:38:23.261000+00:00,0,2026-07-22 09:47:09.703000+00:00,3,2,10
6a60919d62a1662d3b6803e4,6a5b33f154b73fc9cb5effdf,Marshall Gusikowski III,1-463-721-2634,GUEST,6a5b5008120eac5c280cb195,2026-06-04 15:06:46.253000+00:00,0,2026-07-22 09:47:09.703000+00:00,6,3,15
6a60919d62a1662d3b6803e5,6a5b33f154b73fc9cb5effdf,Jerome Torp,996.315.5848 x7204,DELIVERY,6a5b5008120eac5c280cb195,2026-05-03 10:30:33.343000+00:00,0,2026-07-22 09:47:09.703000+00:00,5,6,10
